Scientific Name,Common Name,Duration,Habit,Sun,Water
Acer rubrum,"Red Maple",Perennial,tree,"Sun & part-shade",Moist, https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/2014-10-30_11_09_40_Red_Maple_during_autumn_on_Lower_Ferry_Road_in_Ewing%2C_New_Jersey.JPG/1200px-2014-10-30_11_09_40_Red_Maple_during_autumn_on_Lower_Ferry_Road_in_Ewing%2C_New_Jersey.JPG
Acer saccharinum,"Silver Maple",Perennial,Tree,"Sun shade & part-shade",Moist, https://upload.wikimedia.org/wikipedia/commons/6/64/Silber-Ahorn_%28Acer_saccharinum%29.jpg
Acer saccharum,"Sugar Maple",Perennial,Tree,"Sun shade & part-shade",Moist and dry, https://s3.amazonaws.com/eit-planttoolbox-prod/media/images/Acer_saccharum_Bruce_xUEiSRKQCPn5.jpeg
Achillea millefolium,"Common Yarrow", Perennial,Herb,"Sun & part-shade",Dry, https://calscape.com/ExtData/allimages/Photos/Achillea_millefolium_image84.jpg
Actaea pachypoda,"Western Yarrow",Perennial,Herb,"Shade & part-shade",Wet and moist, https://www.applewoodseed.com/wp-content/uploads/2016/11/ACLA-801.jpg
Actaea rubra,"Red Baneberry",Perennial,Herb,"Sun shade & part-shade",Moist, https://wildadirondacks.org/images/Adirondack-Wildflowers-Red-Baneberry-Actaea-rubra-Fruit-Adirondack-Wildlife-Refuge-18-July-2019-71.jpg
Adiantum pedatum,"Northern Maidenhair Fern",Perennial,Fern,"Shade & Part-shade",Moist, https://www.monrovia.com/media/catalog/product/cache/e5452c18e1c4fefc7252403522e22bd5/r/e/rest_1_7_17809.jpeg
Amelanchier canadensis,"Canadian Serviceberry",Perennial,Tree,"Sun shade & part-shade",Wet and moist, https://gardeningcalendar.ca/wp-content/uploads/2022/06/Amelanchier-canadensis-sm.jpg
Anaphalis margaritacea,"Western Pearly Everlasting",Perennial,Herb,"Sun & part-shade",Dry https://nittygrittylife.com/wp-content/uploads/2019/08/pearly-everlasting-in-flower.jpg
Anemone canadensis,"Canadian Anemone",Perennial,Herb,"Shade & part-shade",Moist, https://upload.wikimedia.org/wikipedia/commons/d/d2/Anemone_canadensis.jpg
Aquilegia canadensis,"Eastern Red Columbine",Perennial,Herb,"Shade & part-shade",Moist and dry, https://www.americanmeadows.com/media/catalog/product/a/q/aquilegia-canadensis-eastern-red-columbine-red.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=
Asclepias tuberosa,"Butterflyweed",Perennial,Herb,Sun,Moist and dry, https://www.thespruce.com/thmb/OvugaWov9XMxd2rn04WIXCupB9M=/1982x1982/smart/filters:no_upscale()/growing-butterfly-weed-in-your-garden-2539531-06-999a7926f9df4941bd424f11b0653c2c.jpg
Asimina triloba,"Pawpaw",Perennial,Tree,"Sun shade & part-shade",Moist, https://cdn.shopify.com/s/files/1/0059/8835/2052/products/PawPaw_1_735072c6-25c6-4d48-b248-97fe2be0cce0_650x.jpg?v=1660765427
Betula lenta,"Sweet Birch",Perennial,Tree,"Shade & part-shade",Moist and dry, https://www.longislandnatives.com/wp-content/uploads/2020/11/image-168-630x949.jpeg
Betula populifolia,"Gray Birch",Perennial,Tree,"Sun shade & part-shade",Wet and moist and dry, https://www.homestratosphere.com/wp-content/uploads/2020/12/gray-birch-tree-Dec232020-1-min.jpg
Campanula rotundifolia,"Bluebell Bellflower",Perennial,Herb,"Sun shade & part-shade",Dry, https://cdn.britannica.com/37/197837-050-5FEE29C1/Flowers-bluebell-English-hyacinth.jpg
Campanulastrum americanum,"American Bellflower",Annual,Herb,Part-shade,Moist, https://www.illinoiswildflowers.info/woodland/photos/am_bellflower2.jpg
Campsis radicans,"Trumpet Creeper",Perennial,Vine,Sun,Moist and dry, https://www.gardeningknowhow.com/wp-content/uploads/2010/05/trumpet-vine1.jpg 
Carpinus caroliniana,"American Hornbeam",Perennial,Tree,"Shade & Part-shade",Moist, https://www.mckaynursery.com/common/products/images/main/hornbeam-american-600x600-1.jpg 
Carya glabra,"Pignut Hickory",Perennial,Tree,"Sun shade & part-shade",Dry, https://keiltreeexperts.com/wp-content/uploads/2019/11/pignut-tree.jpg 
Carya ovata,"Shagbark Hickory",Perennial,Tree,"Sun shade & part-shade",Moist and dry, https://chiefrivernursery.com/media/catalog/product/cache/9820170e8aaf17063e79ec8448f2da6f/s/h/shagbark-hickory-hardwood_1.jpg 
Carya tomentosa,"Mockernut Hickory",Perennial,Tree,Part-shade,Moist, https://www.pfw.edu/microsites/native-trees/images/trees/hero-images/mockernut-hickory.jpg 
Ceanothus americanus,"New Jersey Tea",Perennial,Shrub,"Sun & part-shade",Moist and dry, https://cdn11.bigcommerce.com/s-ih8o56kgor/images/stencil/1280x1280/products/5321/10470/New-Jersey-Tea-1__15065.1640094234.png?c=2 
Cercis canadensis,"Eastern Redbud",Perennial,Tree,"Shade & part-shade",Moist, https://cdn.shopify.com/s/files/1/0059/8835/2052/products/Eastern_Redbud_1_650x.jpg?v=1650474110 
Chamaecyparis thyoides,"Atlantic White Cedar",Perennial,Tree,Part-shade,Wet, https://guides.nynhp.org/media/i10173.jpg 
Chamerion angustifolium ssp. angustifolium,"Fireweed",Perennial,Herb,Sun,Moist, https://upload.wikimedia.org/wikipedia/commons/1/1d/Maitohorsma_%28Epilobium_angustifolium%29.JPG 
